,month,TEU COUNT_Total_Total,TEU COUNT_Total_Empty,TEU COUNT_Total_Laden,TEU COUNT_Import_Total,TEU COUNT_Import_Empty,TEU COUNT_Import_Laden,TEU COUNT_Export_Total,TEU COUNT_Export_Empty,TEU COUNT_Export_Laden,Container COUNT_Total_Total,Container COUNT_Total_Empty,Container COUNT_Total_Laden,Container COUNT_Import_Total,Container COUNT_Import_Empty,Container COUNT_Import_Laden,Container COUNT_Export_Total,Container COUNT_Export_Empty,Container COUNT_Export_Laden,year,ds
0,January,185511,17684,167827,101683,4087,97597,83828,13597,70230,108350,10863,97487,59001,2373,56628,49349,8490,40859,2008,2008-01-01
1,February,211837,19606,192231,108924,3259,105664,102914,16347,86567,122113,11703,110410,62630,1827,60803,59483,9876,49607,2008,2008-02-01
2,March,184749,15023,169726,93251,3976,89275,91498,11047,80451,107812,9395,98417,54013,2326,51687,53799,7069,46730,2008,2008-03-01
3,April,214507,21976,192532,116121,8329,107793,98386,13647,84739,123892,13015,110877,66920,4635,62285,56972,8380,48592,2008,2008-04-01
4,May,215220,23395,191825,107090,4812,102278,108130,18583,89548,125147,14321,110826,62243,2612,59631,62904,11709,51195,2008,2008-05-01
5,June,211566,24202,187364,112934,7518,105416,98633,16684,81948,121539,14659,106880,64983,3958,61025,56556,10701,45855,2008,2008-06-01
6,July,225428,28413,197015,123517,5418,118098,101911,22995,78917,129595,17837,111758,70532,2808,67724,59063,15029,44034,2008,2008-07-01
7,August,224699,35044,189655,117266,4642,112624,107434,30403,77031,128214,20886,107328,66761,2412,64349,61453,18474,42979,2008,2008-08-01
8,September,228189,41605,186584,119498,3905,115593,108691,37701,70990,129944,23926,106018,67903,2125,65778,62041,21801,40240,2008,2008-09-01
9,October,214039,46623,167417,102841,3738,99103,111199,42885,68314,122330,26429,95901,59122,2191,56931,63208,24238,38970,2008,2008-10-01
10,November,194593,37785,156809,95884,2456,93428,98709,35329,63381,112022,21236,90786,55494,1344,54150,56528,19892,36636,2008,2008-11-01
11,December,181769,26937,154832,95302,3819,91483,86467,23118,63349,104169,15582,88587,54828,1977,52851,49341,13605,35736,2008,2008-12-01
12,January,166708,24029,142679,87097,2882,84215,79611,21147,58464,95845,14045,81800,50168,1496,48672,45677,12549,33128,2009,2009-01-01
13,February,145132,17585,127547,66569,4549,62020,78562,13036,65526,83504,10613,72891,38499,2631,35868,45005,7982,37023,2009,2009-02-01
